person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,cibil_score
25,75000,RENT,4.0,HOMEIMPROVEMENT,30000,16.89,1,0.4,Y,4,696
23,71500,RENT,3.0,DEBTCONSOLIDATION,30000,,1,0.42,N,4,693
26,62050,RENT,6.0,MEDICAL,30000,17.99,1,0.41,N,2,602
24,12000,OWN,4.0,VENTURE,2500,12.69,1,0.21,N,3,786
26,300000,MORTGAGE,10.0,VENTURE,20000,7.88,0,0.07,N,4,850
23,300000,OWN,1.0,EDUCATION,24250,19.41,0,0.08,Y,2,584
26,300000,OWN,9.0,HOMEIMPROVEMENT,10000,10.38,0,0.03,N,4,770
26,300000,MORTGAGE,0.0,EDUCATION,25000,15.33,0,0.08,N,3,658
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,18000,16.45,0,0.06,N,3,638
26,80690,RENT,8.0,PERSONAL,30000,7.49,1,0.37,N,3,817
22,66300,RENT,4.0,MEDICAL,30000,12.69,1,0.38,N,3,753
26,89028,RENT,0.0,DEBTCONSOLIDATION,30000,6.62,1,0.34,N,3,888
24,78000,RENT,4.0,DEBTCONSOLIDATION,30000,,1,0.38,Y,4,663
23,78000,RENT,7.0,DEBTCONSOLIDATION,30000,18.62,1,0.38,Y,3,458
23,92004,RENT,6.0,PERSONAL,30000,15.23,1,0.33,Y,3,725
23,97000,RENT,7.0,VENTURE,30000,10.65,1,0.31,N,2,751
25,120000,RENT,9.0,EDUCATION,30000,7.9,0,0.25,N,4,883
26,280000,RENT,4.0,PERSONAL,10000,15.96,0,0.04,Y,3,727
26,277104,RENT,0.0,VENTURE,20000,11.48,0,0.07,N,3,796
23,277000,OWN,3.0,PERSONAL,35000,,0,0.13,N,4,859
25,128000,RENT,9.0,PERSONAL,30000,7.29,0,0.23,N,4,870
24,12000,OWN,2.0,VENTURE,1750,,0,0.15,Y,3,643
21,131000,RENT,0.0,VENTURE,30000,5.99,0,0.23,N,4,807
22,275000,OWN,6.0,VENTURE,12000,11.58,0,0.04,N,2,796
26,263000,MORTGAGE,0.0,EDUCATION,10000,,1,0.04,N,4,784
25,221850,MORTGAGE,9.0,MEDICAL,25000,15.7,1,0.1,N,2,663
22,70000,RENT,6.0,EDUCATION,29100,15.99,1,0.42,N,3,666
22,12000,MORTGAGE,7.0,EDUCATION,1500,14.84,0,0.13,Y,3,685
26,260000,OWN,10.0,HOMEIMPROVEMENT,28000,10.99,0,0.11,N,3,799
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,20000,14.42,0,0.08,Y,2,689
24,255000,MORTGAGE,9.0,EDUCATION,9600,6.99,0,0.04,N,2,803
25,250000,RENT,2.0,MEDICAL,25000,13.49,0,0.1,N,4,701
25,12000,OWN,0.0,MEDICAL,3000,,1,0.25,N,3,705
22,56950,RENT,6.0,MEDICAL,28000,,1,0.49,N,2,853
21,12000,OWN,6.0,EDUCATION,3000,13.61,1,0.25,Y,3,741
23,65000,RENT,2.0,EDUCATION,28000,7.9,1,0.43,N,2,803
26,85000,RENT,2.0,VENTURE,28000,7.49,1,0.33,N,3,853
26,12000,OWN,2.0,EDUCATION,6100,7.51,1,0.51,N,3,892
22,88000,RENT,6.0,VENTURE,28000,9.91,1,0.32,N,3,767
21,12000,OWN,0.0,PERSONAL,4200,13.48,1,0.35,Y,4,725
22,12000,OWN,6.0,DEBTCONSOLIDATION,4750,7.14,1,0.4,N,2,843
24,83004,RENT,0.0,VENTURE,28000,15.99,1,0.34,Y,4,683
24,250000,RENT,2.0,EDUCATION,18000,12.98,0,0.07,Y,3,709
144,250000,RENT,4.0,VENTURE,4800,13.57,0,0.02,N,3,735
25,100000,RENT,5.0,DEBTCONSOLIDATION,28000,12.69,0,0.28,N,3,763
26,110000,RENT,10.0,EDUCATION,28000,8.9,0,0.25,N,2,894
26,12000,OWN,0.0,DEBTCONSOLIDATION,2700,,1,0.23,N,4,847
22,108000,RENT,6.0,EDUCATION,28000,,1,0.26,N,4,764
23,151200,RENT,7.0,DEBTCONSOLIDATION,28000,11.11,0,0.19,N,2,757
24,69000,RENT,2.0,HOMEIMPROVEMENT,27600,,1,0.4,N,2,877
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,3250,15.68,1,0.27,Y,3,622
22,70000,RENT,4.0,EDUCATION,27500,13.06,1,0.39,Y,3,739
22,240000,OWN,6.0,PERSONAL,25000,,0,0.1,N,2,770
26,73200,RENT,5.0,VENTURE,27050,15.62,1,0.37,Y,2,665
24,83000,RENT,5.0,PERSONAL,27000,13.49,1,0.33,Y,2,744
24,73399,RENT,0.0,VENTURE,27000,,1,0.37,N,3,667
23,62500,RENT,7.0,MEDICAL,26000,11.71,1,0.42,N,2,796
23,120000,RENT,1.0,EDUCATION,25600,12.69,0,0.21,N,3,773
24,12360,OWN,2.0,MEDICAL,1600,13.57,0,0.13,N,3,725
22,60000,RENT,0.0,VENTURE,25475,10.99,1,0.42,N,3,774
25,234000,MORTGAGE,3.0,MEDICAL,20000,14.27,0,0.09,Y,4,744
24,234000,OWN,8.0,HOMEIMPROVEMENT,20000,8.88,0,0.09,N,4,790
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,21600,12.18,0,0.09,N,3,778
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,11900,14.42,1,0.05,Y,3,664
26,232500,MORTGAGE,0.0,MEDICAL,25000,14.17,0,0.11,Y,2,744
25,230000,MORTGAGE,5.0,MEDICAL,35000,13.99,0,0.15,N,4,700
23,83000,RENT,7.0,EDUCATION,25300,10.99,1,0.3,N,3,774
22,12600,MORTGAGE,,PERSONAL,2000,5.42,1,0.16,N,4,870
25,12600,OWN,3.0,PERSONAL,1750,13.61,0,0.14,N,3,708
21,42500,RENT,3.0,EDUCATION,25000,12.73,1,0.59,Y,3,723
24,41000,RENT,2.0,HOMEIMPROVEMENT,25000,,1,0.61,N,3,650
25,12816,OWN,0.0,DEBTCONSOLIDATION,3000,12.87,1,0.23,Y,4,743
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,3650,9.91,1,0.28,N,3,757
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,20000,11.49,0,0.09,N,4,773
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,30000,19.91,0,0.13,Y,2,610
26,213000,MORTGAGE,6.0,EDUCATION,35000,10.65,1,0.16,N,2,766
24,225000,RENT,0.0,MEDICAL,6000,,0,0.03,N,4,757
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,4500,11.83,1,0.35,N,4,784
23,12996,OWN,0.0,DEBTCONSOLIDATION,2400,13.49,1,0.18,Y,2,734
22,42000,RENT,6.0,MEDICAL,25000,14.59,1,0.6,Y,2,682
26,48000,RENT,2.0,EDUCATION,25000,9.64,1,0.52,N,4,754
25,12996,OWN,1.0,MEDICAL,3600,14.59,1,0.28,N,3,691
22,12996,OWN,1.0,EDUCATION,4750,,1,0.37,N,3,788
25,42360,RENT,1.0,EDUCATION,25000,16.35,1,0.59,Y,3,640
21,49000,RENT,4.0,EDUCATION,25000,10.99,1,0.51,N,2,777
25,225000,MORTGAGE,0.0,VENTURE,25000,18.67,0,0.11,N,2,584
26,225000,RENT,1.0,EDUCATION,3000,9.32,0,0.01,N,4,872
23,225000,RENT,8.0,DEBTCONSOLIDATION,7500,8.63,0,0.03,N,2,871
26,225000,MORTGAGE,2.0,VENTURE,25000,10.08,0,0.11,N,2,761
22,49464,RENT,5.0,PERSONAL,25000,11.83,1,0.51,N,3,783
23,50000,RENT,1.0,DEBTCONSOLIDATION,25000,7.9,1,0.5,N,3,832
25,50000,RENT,4.0,HOMEIMPROVEMENT,25000,5.99,1,0.5,N,2,847
24,44000,RENT,2.0,DEBTCONSOLIDATION,25000,15.33,1,0.57,N,2,672
23,50000,RENT,1.0,VENTURE,25000,11.83,1,0.5,N,4,773
22,50004,RENT,0.0,VENTURE,25000,10.36,1,0.5,N,2,786
22,50004,RENT,3.0,VENTURE,25000,12.23,1,0.5,N,3,734
22,52000,RENT,2.0,EDUCATION,25000,11.11,1,0.48,N,4,793
23,13200,OWN,3.0,DEBTCONSOLIDATION,4950,7.9,1,0.38,N,4,885
24,220000,MORTGAGE,1.0,EDUCATION,25000,11.58,0,0.11,N,2,776
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,21000,8.9,0,0.1,N,3,834
25,216000,MORTGAGE,2.0,EDUCATION,25000,16.07,0,0.12,N,3,650
26,216000,MORTGAGE,10.0,EDUCATION,20000,14.22,0,0.09,Y,2,734
23,215000,MORTGAGE,7.0,MEDICAL,35000,14.79,0,0.16,Y,3,736
26,215000,MORTGAGE,11.0,EDUCATION,12000,7.88,0,0.06,N,2,846
23,52000,RENT,1.0,PERSONAL,25000,13.22,1,0.48,N,2,713
26,46000,RENT,2.0,DEBTCONSOLIDATION,25000,11.86,1,0.54,N,4,652
22,53000,RENT,5.0,EDUCATION,25000,13.43,1,0.47,Y,4,700
26,47000,RENT,0.0,HOMEIMPROVEMENT,25000,15.28,1,0.53,Y,2,654
23,47000,RENT,1.0,VENTURE,25000,17.93,1,0.53,N,2,625
23,13200,MORTGAGE,2.0,EDUCATION,1400,9.25,0,0.11,N,4,763
21,13200,OWN,0.0,VENTURE,4500,12.98,1,0.34,N,4,738
22,210000,MORTGAGE,6.0,VENTURE,16000,10.62,0,0.08,N,4,776
26,210000,OWN,10.0,PERSONAL,22000,11.83,0,0.1,N,4,758
26,48000,RENT,5.0,VENTURE,25000,18.43,1,0.52,N,2,464
22,54996,RENT,6.0,EDUCATION,25000,,1,0.45,N,4,775
24,55000,RENT,4.0,HOMEIMPROVEMENT,25000,,1,0.45,Y,4,691
23,55000,RENT,4.0,EDUCATION,25000,11.36,1,0.45,N,3,762
23,55000,RENT,4.0,EDUCATION,25000,15.65,1,0.45,Y,3,681
24,55164,RENT,8.0,PERSONAL,25000,13.22,1,0.45,Y,4,738
26,56000,RENT,4.0,DEBTCONSOLIDATION,25000,12.87,1,0.45,N,2,748
24,203500,OWN,8.0,MEDICAL,20000,13.04,0,0.1,N,3,731
23,190000,MORTGAGE,5.0,EDUCATION,22000,17.58,1,0.12,Y,3,581
23,13920,OWN,2.0,PERSONAL,7750,17.04,1,0.56,N,4,629
24,60000,RENT,0.0,PERSONAL,25000,10.99,1,0.42,N,3,786
24,60000,RENT,2.0,PERSONAL,25000,11.11,1,0.42,N,3,772
26,54000,RENT,7.0,DEBTCONSOLIDATION,25000,14.83,1,0.46,Y,2,688
23,14000,OWN,2.0,DEBTCONSOLIDATION,4000,,1,0.29,N,3,694
24,200000,RENT,8.0,MEDICAL,12000,12.69,0,0.06,N,2,764
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,12000,13.49,0,0.06,N,2,742
21,200000,MORTGAGE,5.0,EDUCATION,16000,14.65,0,0.08,N,4,728
25,54000,RENT,3.0,HOMEIMPROVEMENT,25000,16.82,1,0.46,N,4,635
23,60000,RENT,3.0,PERSONAL,25000,12.73,1,0.42,N,3,712
23,60000,RENT,7.0,PERSONAL,25000,10.25,1,0.42,N,4,781
21,60000,RENT,6.0,EDUCATION,25000,10.99,1,0.42,N,4,756
25,61959,RENT,9.0,MEDICAL,25000,12.73,1,0.4,N,2,721
22,56400,RENT,2.0,HOMEIMPROVEMENT,25000,14.96,1,0.44,Y,3,677
23,200000,MORTGAGE,7.0,EDUCATION,28000,,0,0.14,N,2,865
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,25000,13.99,0,0.13,N,2,741
24,200000,MORTGAGE,3.0,VENTURE,24000,7.49,0,0.12,N,4,844
26,200000,MORTGAGE,4.0,EDUCATION,15000,14.79,0,0.07,N,3,705
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,15500,11.99,0,0.08,N,2,777
24,200000,RENT,8.0,EDUCATION,10000,8.49,0,0.05,N,4,827
24,66000,RENT,3.0,EDUCATION,25000,9.91,1,0.38,N,2,793
22,66000,RENT,6.0,EDUCATION,25000,13.06,1,0.38,Y,3,743
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,9000,6.17,0,0.04,N,4,883
144,200000,MORTGAGE,4.0,EDUCATION,6000,11.86,0,0.03,N,2,779
25,200000,RENT,5.0,EDUCATION,18000,16.32,0,0.09,N,3,660
25,200000,MORTGAGE,2.0,VENTURE,12000,10.38,0,0.06,N,2,777
25,200000,MORTGAGE,9.0,PERSONAL,23050,14.35,0,0.12,N,3,724
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,20000,,0,0.1,N,3,788
24,60000,RENT,2.0,DEBTCONSOLIDATION,25000,,1,0.42,Y,2,632
21,14400,OWN,0.0,HOMEIMPROVEMENT,3000,,1,0.21,N,4,750
26,66996,RENT,10.0,PERSONAL,25000,15.21,1,0.37,Y,2,676
23,67000,RENT,3.0,EDUCATION,25000,7.9,1,0.37,N,4,861
24,67000,RENT,2.0,VENTURE,25000,10.99,1,0.37,N,3,762
24,68000,RENT,5.0,PERSONAL,25000,14.09,1,0.37,Y,3,690
25,69000,RENT,9.0,PERSONAL,25000,17.49,1,0.36,N,2,652
25,200000,MORTGAGE,0.0,EDUCATION,12000,11.48,0,0.06,N,3,788
26,188000,MORTGAGE,10.0,VENTURE,20000,17.74,1,0.11,N,2,605
26,200000,MORTGAGE,4.0,PERSONAL,3000,13.92,0,0.01,N,3,707
25,69996,RENT,9.0,EDUCATION,25000,15.21,1,0.36,N,3,676
22,14400,OWN,2.0,MEDICAL,4000,10.99,1,0.28,N,3,758
24,70000,RENT,3.0,EDUCATION,25000,11.86,1,0.36,N,4,786
24,14400,OWN,5.0,PERSONAL,6000,7.49,1,0.42,N,3,896
24,56100,RENT,7.0,MEDICAL,25000,16.49,1,0.38,N,4,691
25,66000,RENT,9.0,VENTURE,25000,15.33,1,0.38,Y,2,693
26,66000,RENT,3.0,HOMEIMPROVEMENT,25000,11.58,1,0.38,N,4,773
25,14400,OWN,7.0,EDUCATION,5375,5.79,1,0.37,N,2,878
25,72612,RENT,9.0,MEDICAL,25000,13.11,1,0.34,N,2,731
23,74000,RENT,3.0,MEDICAL,25000,10.36,1,0.34,N,3,781
25,75000,RENT,9.0,DEBTCONSOLIDATION,25000,10.36,1,0.33,N,2,773
24,192000,RENT,0.0,MEDICAL,22000,,0,0.11,Y,2,740
21,192000,MORTGAGE,123.0,VENTURE,20000,6.54,0,0.1,N,4,851
25,191000,MORTGAGE,1.0,MEDICAL,10000,12.53,0,0.05,N,4,798
26,190300,MORTGAGE,5.0,PERSONAL,15000,,0,0.08,N,3,861
22,190000,MORTGAGE,3.0,VENTURE,10000,,0,0.05,N,3,748
24,75000,RENT,4.0,EDUCATION,25000,10.25,1,0.33,N,4,761
22,71000,RENT,1.0,EDUCATION,25000,15.95,1,0.35,Y,4,688
26,190000,MORTGAGE,3.0,VENTURE,20000,12.18,0,0.11,N,4,751
23,189996,OWN,0.0,PERSONAL,24000,11.83,0,0.13,N,3,752
23,78000,RENT,7.0,DEBTCONSOLIDATION,25000,,1,0.32,Y,2,748
23,78000,RENT,1.0,VENTURE,25000,10.62,1,0.32,N,3,786
23,78504,RENT,7.0,VENTURE,25000,10.74,1,0.32,N,3,798
25,186000,OWN,9.0,VENTURE,10000,10.25,0,0.05,N,4,766
24,185000,MORTGAGE,,EDUCATION,35000,12.42,0,0.19,N,2,798
25,185000,RENT,6.0,VENTURE,15000,15.27,0,0.08,N,2,701
24,62050,RENT,8.0,MEDICAL,25000,15.33,1,0.34,Y,2,651
23,79416,RENT,7.0,VENTURE,25000,15.21,1,0.31,Y,2,677
21,14400,OWN,4.0,VENTURE,6250,14.72,1,0.43,N,2,722
24,79631,RENT,8.0,PERSONAL,25000,15.7,1,0.31,Y,2,686
24,79632,RENT,0.0,EDUCATION,25000,13.35,1,0.31,N,4,731
21,14400,MORTGAGE,0.0,MEDICAL,1500,,0,0.1,N,4,732
24,80000,RENT,6.0,EDUCATION,25000,6.62,1,0.31,N,2,800
26,80000,RENT,5.0,DEBTCONSOLIDATION,25000,13.61,1,0.31,N,4,718
22,185000,RENT,4.0,MEDICAL,25000,11.36,0,0.14,N,2,751
26,185000,OWN,10.0,PERSONAL,5000,7.68,0,0.03,N,2,852
24,184992,RENT,7.0,HOMEIMPROVEMENT,22000,14.46,0,0.12,Y,4,693
23,184000,OWN,5.0,EDUCATION,2500,11.83,0,0.01,N,2,775
24,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,20000,13.47,1,0.12,Y,4,731
24,183000,MORTGAGE,2.0,MEDICAL,20000,11.49,0,0.11,N,3,755
22,183000,MORTGAGE,3.0,EDUCATION,1000,,0,0.01,N,2,831
25,182952,MORTGAGE,9.0,PERSONAL,15000,6.03,0,0.08,N,3,867
23,74004,RENT,7.0,DEBTCONSOLIDATION,25000,16.35,1,0.34,N,4,610
26,74004,RENT,10.0,DEBTCONSOLIDATION,25000,,1,0.34,Y,4,666
25,81000,RENT,5.0,DEBTCONSOLIDATION,25000,7.29,1,0.31,N,3,837
23,81600,RENT,1.0,MEDICAL,25000,11.36,1,0.31,N,3,773
24,82000,RENT,8.0,VENTURE,25000,10.25,0,0.3,N,2,754
24,83000,RENT,5.0,EDUCATION,25000,11.12,0,0.3,N,3,783
24,83000,RENT,5.0,PERSONAL,25000,12.92,0,0.3,Y,3,655
24,180000,RENT,8.0,EDUCATION,18000,18.64,0,0.1,Y,4,621
23,180000,MORTGAGE,8.0,PERSONAL,28000,7.51,0,0.16,N,3,810
23,14400,OWN,2.0,HOMEIMPROVEMENT,4000,16.7,1,0.28,N,2,647
22,14400,OWN,0.0,PERSONAL,2100,11.14,0,0.15,N,4,765
22,84500,RENT,6.0,PERSONAL,25000,18.3,0,0.3,N,4,546
24,85000,RENT,5.0,MEDICAL,25000,10.62,0,0.29,N,4,758
24,180000,MORTGAGE,7.0,VENTURE,14000,11.99,0,0.08,N,2,755
26,180000,MORTGAGE,2.0,VENTURE,12000,9.63,0,0.07,N,4,765
25,142800,MORTGAGE,9.0,MEDICAL,10000,18.25,1,0.06,N,4,542
23,14664,MORTGAGE,0.0,DEBTCONSOLIDATION,6000,,1,0.41,N,4,702
24,87000,RENT,8.0,HOMEIMPROVEMENT,25000,14.84,0,0.29,N,3,669
24,75000,RENT,0.0,VENTURE,25000,14.7,1,0.33,Y,3,635
23,76000,RENT,7.0,DEBTCONSOLIDATION,25000,16.02,1,0.33,N,4,668
23,66215,RENT,1.0,MEDICAL,25000,15.37,1,0.32,Y,2,675
25,90000,RENT,9.0,MEDICAL,25000,10.99,0,0.28,N,4,752
21,15000,OWN,0.0,HOMEIMPROVEMENT,6200,7.9,1,0.41,N,2,818
26,180000,OWN,2.0,PERSONAL,25000,10.99,0,0.14,N,4,769
24,180000,OWN,8.0,EDUCATION,21000,11.48,0,0.12,N,3,781
25,180000,OWN,9.0,MEDICAL,20000,14.26,0,0.11,Y,4,706
26,180000,OWN,0.0,HOMEIMPROVEMENT,10000,8.0,0,0.06,N,4,851
25,180000,MORTGAGE,3.0,VENTURE,9950,11.26,0,0.06,N,2,790
23,15000,OWN,7.0,MEDICAL,4475,,1,0.3,N,4,782
23,78000,RENT,2.0,VENTURE,25000,16.32,1,0.32,Y,3,689
25,66300,RENT,3.0,MEDICAL,25000,17.93,1,0.32,Y,4,638
23,90000,RENT,0.0,DEBTCONSOLIDATION,25000,11.36,0,0.28,N,3,767
24,79000,RENT,9.0,DEBTCONSOLIDATION,25000,14.96,1,0.32,Y,4,689
24,91800,RENT,4.0,PERSONAL,25000,13.43,0,0.27,Y,3,700
25,92000,RENT,6.0,HOMEIMPROVEMENT,25000,12.69,0,0.27,N,3,760
24,92000,RENT,1.0,VENTURE,25000,12.73,0,0.27,Y,4,727
23,93600,RENT,3.0,VENTURE,25000,15.21,0,0.27,N,4,674
23,15000,MORTGAGE,1.0,MEDICAL,1750,12.68,0,0.12,Y,3,749
23,70550,RENT,3.0,MEDICAL,25000,19.04,1,0.3,Y,4,491
25,83800,RENT,2.0,DEBTCONSOLIDATION,25000,15.95,1,0.3,Y,3,684
26,175000,MORTGAGE,3.0,VENTURE,2600,8.9,0,0.01,N,4,806
25,175000,MORTGAGE,10.0,HOMEIMPROVEMENT,8000,7.9,0,0.05,N,2,815
22,175000,MORTGAGE,6.0,EDUCATION,18000,,0,0.1,N,2,775
23,175000,MORTGAGE,8.0,PERSONAL,21000,11.99,0,0.12,N,3,797
23,15000,OWN,4.0,DEBTCONSOLIDATION,4000,13.98,1,0.27,N,4,748
23,15000,OWN,4.0,VENTURE,4600,10.99,1,0.31,N,2,751
22,88000,RENT,6.0,DEBTCONSOLIDATION,25000,15.58,1,0.28,Y,2,650
25,74800,RENT,2.0,MEDICAL,25000,10.99,1,0.28,N,2,797
25,88000,RENT,0.0,VENTURE,25000,14.96,1,0.28,N,4,661
25,15000,OWN,2.0,HOMEIMPROVEMENT,1750,15.31,0,0.12,Y,4,654
26,88000,RENT,2.0,VENTURE,25000,15.65,1,0.28,N,3,686
25,100000,RENT,1.0,VENTURE,25000,9.33,0,0.25,N,4,781
23,15000,MORTGAGE,0.0,PERSONAL,3600,13.47,1,0.24,N,4,708
24,102400,RENT,8.0,PERSONAL,25000,10.36,0,0.24,N,3,790
24,92000,RENT,1.0,HOMEIMPROVEMENT,25000,16.77,1,0.27,Y,4,634
23,93000,RENT,0.0,DEBTCONSOLIDATION,25000,14.59,1,0.27,Y,2,668
22,175000,RENT,6.0,VENTURE,3500,11.91,0,0.02,Y,2,747
23,175000,MORTGAGE,3.0,EDUCATION,7200,8.38,0,0.04,N,3,879
25,174708,RENT,9.0,VENTURE,9000,10.59,0,0.05,N,3,752
25,174000,MORTGAGE,2.0,DEBTCONSOLIDATION,8800,14.27,0,0.05,N,3,719
26,174000,RENT,8.0,DEBTCONSOLIDATION,12000,12.53,0,0.07,N,4,773
25,162000,MORTGAGE,5.0,DEBTCONSOLIDATION,25000,16.0,1,0.15,Y,3,632
26,173467,MORTGAGE,10.0,VENTURE,10000,11.71,0,0.06,N,4,773
21,15000,OWN,0.0,HOMEIMPROVEMENT,3175,11.54,1,0.21,Y,3,710
25,96000,RENT,2.0,HOMEIMPROVEMENT,25000,15.68,1,0.26,Y,4,648
21,15120,MORTGAGE,0.0,EDUCATION,1500,10.59,0,0.1,N,2,757
24,97908,RENT,8.0,HOMEIMPROVEMENT,25000,12.61,1,0.26,Y,2,685
26,110000,RENT,3.0,PERSONAL,25000,,0,0.23,Y,2,737
23,15204,MORTGAGE,7.0,PERSONAL,2800,8.49,1,0.18,N,3,883
25,159600,RENT,0.0,PERSONAL,30000,17.27,1,0.19,Y,4,684
24,171500,RENT,6.0,DEBTCONSOLIDATION,18000,8.9,0,0.1,N,4,888
25,170004,MORTGAGE,3.0,MEDICAL,10000,11.11,0,0.06,N,4,784
24,158004,RENT,0.0,HOMEIMPROVEMENT,25000,14.59,1,0.16,Y,2,674
26,170000,RENT,0.0,VENTURE,13000,12.42,0,0.08,N,3,778
24,83300,RENT,0.0,MEDICAL,25000,,1,0.26,N,2,667
24,110000,RENT,7.0,HOMEIMPROVEMENT,25000,15.7,0,0.23,Y,2,695
22,15360,OWN,7.0,HOMEIMPROVEMENT,2500,12.53,1,0.16,N,3,767
25,134300,RENT,3.0,MEDICAL,5000,16.49,1,0.03,N,2,651
25,170000,MORTGAGE,2.0,EDUCATION,20000,7.49,0,0.12,N,2,853
22,100580,RENT,6.0,DEBTCONSOLIDATION,25000,14.96,1,0.25,Y,2,684
25,113000,RENT,7.0,MEDICAL,25000,12.73,0,0.22,Y,4,715
24,120000,RENT,8.0,EDUCATION,25000,10.65,0,0.21,N,4,790
25,120000,RENT,6.0,MEDICAL,25000,10.74,0,0.21,N,2,785
23,120000,RENT,7.0,EDUCATION,25000,9.99,0,0.21,N,2,782
24,91800,RENT,5.0,MEDICAL,25000,15.33,1,0.23,Y,2,653
21,15600,OWN,5.0,VENTURE,1000,7.29,0,0.06,N,4,832
26,108000,RENT,2.0,PERSONAL,25000,15.05,1,0.23,N,3,663
26,129996,RENT,6.0,PERSONAL,25000,10.75,0,0.19,N,3,770
23,130000,RENT,4.0,EDUCATION,25000,16.02,0,0.19,Y,2,697
23,130000,RENT,7.0,VENTURE,25000,11.49,0,0.19,N,4,769
25,170000,OWN,4.0,EDUCATION,20000,12.53,0,0.12,N,4,757
